Name,ClassName,Ac,Activate,Aggravate,AntiTheft,Blessed,Blows,BrandAcid,BrandCold,BrandElec,BrandFire,BrandPois,Category,Cha,Chance1,Chance2,Chance3,Chance4,Chaotic,Con,Cost,Cursed,Dd,Dex,DrainExp,DreadCurse,Ds,EasyKnow,Feather,FreeAct,FriendlyName,HeavyCurse,HideType,HoldLife,IgnoreAcid,IgnoreCold,IgnoreElec,IgnoreFire,ImAcid,ImCold,ImElec,ImFire,Impact,Infra,InstaArt,Int,KillDragon,Level,Lightsource,Locale1,Locale2,Locale3,Locale4,NoMagic,NoTele,PermaCurse,Pval,Reflect,Regen,ResAcid,ResBlind,ResChaos,ResCold,ResConf,ResDark,ResDisen,ResElec,ResFear,ResFire,ResLight,ResNether,ResNexus,ResPois,ResShards,ResSound,Search,SeeInvis,ShElec,ShFire,ShowMods,SlayAnimal,SlayDemon,SlayDragon,SlayEvil,SlayGiant,SlayOrc,SlayTroll,SlayUndead,SlowDigest,Speed,Stealth,Str,SubCategory,SustCha,SustCon,SustDex,SustInt,SustStr,SustWis,Telepathy,Teleport,ToA,ToD,ToH,Tried,Tunnel,Vampiric,Vorpal,Weight,Wis,Wraith,XtraMight,XtraShots,Character,Colour
Amulet:Adornment,AmuletAdornment,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,1,0,0,0,FALSE,FALSE,20,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Adornment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,FALSE,15,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Amulet,AmuletCarlammas,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,0,0,0,0,FALSE,FALSE,60000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,& Amulet~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,50,FALSE,0,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Amulet*,AmuletIngwe,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,0,0,0,0,FALSE,FALSE,90000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,& Amulet~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60,FALSE,0,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Anti-Magic,AmuletAntiMagic,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,4,0,0,0,FALSE,FALSE,30000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Anti-Magic,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,40,0,0,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Anti-Teleportation,AmuletAntiTeleportation,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,4,0,0,0,FALSE,FALSE,15000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Anti-Teleportation,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,30,0,0,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Anti-Theft,AmuletAntiTheft,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,1,0,0,0,FALSE,FALSE,1000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Anti-Theft,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,20,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:Brilliance,AmuletBrilliance,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,1,0,0,0,FALSE,FALSE,500,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Brilliance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,FALSE,20,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,£,Background
Amulet:Charisma,AmuletCharisma,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,TRUE,1,0,0,0,FALSE,FALSE,500,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Charisma,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,20,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
Amulet:DOOM,AmuletDOOM,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,TRUE,1,0,0,0,FALSE,TRUE,0,TRUE,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,DOOM,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,FALSE,50,0,0,0,FALSE,FALSE,FALSE,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,£,Background
Amulet:Necklace,AmuletNecklace,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amulet,FALSE,0,0,0,0,FALSE,FALSE,75000,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,& Necklace~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,70,FALSE,0,0,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,£,Background
